"","lead_id","name","company","qualification_level_code_text","user_status_code_text","account_life_cycle_status_code_text","life_cycle_status_code_text","origin_type_code_text","priority_code_text","group_code_text","c4c_account_state","bci_project_state","bci_project_type","bci_project_status","estimated_project_value","bci_project_stage","opportunity_id","sale","project_state","log_value","type"
"12",19084,"SUNSHINE COAST HEART CENTRE","Kane Constructions (QLD) Pty L","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","QLD","Queensland","mixed use development - 2 buildings - up to 4 storey","Construction Commenced",6500000,"Construction","NULL","0","Construction Commenced",15.6873127348659,"other"
"13",19088,"HARRIS FARM MARKETS - TURRAMURRA","Harris Farm Markets Pty Ltd -","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NSW","New South Wales","fresh food market | cafe - single storey","Rezoning",3e+06,"Concept","NULL","0","Rezoning",14.9141228466324,"other"
"14",19103,"107 Coppin St Lot 1 on TP817215 Richmond VIC 3121","Turco & Associates Pty Ltd - M","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","townhouses (7) - 3 storey","Construction Certificate Submitted",2200000,"Documentation","NULL","0","low_chance",14.6039679183285,"townhouse"
"15",19115,"67-69 Balmoral Ave Lot 4 Sec J DP 876; Lot 6 Sec J DP 876 Croydon Park NSW 2133","Kizana Design Group","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NSW","New South Wales","townhouses (9) - 2 storey","Tenders To Be Called",3034876,"Documentation","NULL","0","Tenders To Be Called",14.9256811249689,"townhouse"
"16",19119,"GLEN EIRA TOWN HALL REFURBISHMENT","City of Glen Eira Council","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","town hall - refurbishment - 4 storey","Competition / Design Tender",7e+06,"Concept","NULL","0","low_chance",15.7614207070196,"other"
"17",19124,"WOOLWORTHS - ASHFIELD","Woolworths Group (Woolworths S","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NSW","New South Wales","supermarket | liquor store | cafe","Tenderers Named",1e+07,"Tender","NULL","0","Tenderers Named",16.1180956509583,"other"
"18",19138,"TASKERS NORTH FREMANTLE / SISKAS MIXED USED DEVELOPMENT","Taskers Living Pty Ltd","Hot","Declined","Active","Declined","BCI/Cordell","Normal","Commercial Project","WA","Western Australia","apartments (55) | gymnasium - 2 buildings - 2 & 7 storey","Construction Commenced",3e+07,"Construction","NULL","0","Construction Commenced",17.2167079396264,"apartment"
"19",19155,"100-102 Islington St CP105458 Collingwood VIC","Ratio Consultants Pty Ltd","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","apartments (15) | offices (2) | cafe - 9 storey","Construction Certificate Submitted",4500000,"Documentation","NULL","0","low_chance",15.3195879547405,"apartment"
"20",19162,"POLICE CITIZENS YOUTH CLUB GRIFFITH","Police Citizen Youth Clubs - G","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NSW","New South Wales","multipurpose facility - upgrade - single storey","Construction Commenced",3e+06,"Construction","NULL","0","Construction Commenced",14.9141228466324,"other"
"21",19163,"77-81 Simmat Ave Condell Park NSW 2200","Capital Developments Pty Ltd (","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NSW","New South Wales","townhouses (8) - 2 storey","Tenders To Be Called",4e+06,"Documentation","NULL","0","Tenders To Be Called",15.2018049190842,"townhouse"
"22",19175,"ROUSE HILL DEPOT","Noxon Giffen Architects - Sydn","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NSW","New South Wales","bus depot | workshop - 2 storey","Development Approval",8e+06,"Documentation","NULL","0","Development Approval",15.8949520996441,"other"
"23",19191,"RIVERWALK NEW WERRIBEE","Development Victoria (formerly","Hot","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","subdivision (2260 lots) - residential","Development Approval",30500000,"Documentation","NULL","0","Development Approval",17.2332372415776,"other"
"24",19197,"HOTEL STEYNE","Architectural Projects Pty Ltd","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NSW","New South Wales","hotel (41 rooms) - redevelopment - 3 storey","Construction Commenced",3028000,"Construction","NULL","0","Construction Commenced",14.9234128935395,"commercial"
"25",19198,"76 Pacific Hwy Lot 2 DP 1058421 Charlestown | 50 Bean St Lot 744 DP 236926 Gateshead NSW 2090","Shaddock Smith Architects","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NSW","New South Wales","townhouses (25) - 1 to 3 storey","Development Approval",7228000,"Documentation","NULL","0","Development Approval",15.7934729306943,"townhouse"
"26",19204,"AUSTRALIAN MULTICULTURAL AGED NURSING (AMAN) HOUSE LAKEMBA","Thomson Adsett Architects - Br","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","QLD","New South Wales","aged care facility (112 beds) - 4 storey","Rezoning",2e+07,"Concept","NULL","0","Rezoning",16.8112428315183,"aged_care"
"27",19217,"90-94 Stoddart St Lots 420-422 DP 15383 Roselands NSW 2196","Bechara Chan & Associates","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NSW","New South Wales","townhouses (17) - 2 storey","Tenders To Be Called",4652096,"Documentation","NULL","0","Tenders To Be Called",15.3528284286932,"townhouse"
"28",19232,"URALLA RD &amp; NEPEAN HWY - INVESTMENT ROAD &amp; RAIL PROGRAM","VicRoads - Metro South East Re","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","intersection - upgrade","Tenders To Be Called",1e+07,"Documentation","NULL","0","Tenders To Be Called",16.1180956509583,"road"
"29",19233,"FOREST DR &amp; NEPEAN HWY - INVESTMENT ROAD &amp; RAIL PROGRAM","VicRoads - Metro South East Re","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","intersection - upgrade","Tenders To Be Called",1e+07,"Documentation","NULL","0","Tenders To Be Called",16.1180956509583,"road"
"30",19284,"179 Princes Hwy Lots 53 & 54 DP 1201697 Bulli NSW 2516","APEX Engineers","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NSW","New South Wales","light industrial units (16) - single storey","Appeal Lodged",3600000,"Documentation","NULL","0","Appeal Lodged",15.0964444034263,"other"
"31",19292,"VITAE","Urbis Pty Ltd - Melbourne","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","apartments (14) - 4 storey","Tenderers Named",5500000,"Tender","NULL","0","Tenderers Named",15.5202586502027,"apartment"
"32",19295,"STONEHAVEN TOWNHOUSES","proUrban (also ProUrban Planning &","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","townhouses (4) - 2 storey","Construction Commenced",2500000,"Construction","NULL","0","Construction Commenced",14.7318012898384,"townhouse"
"33",19310,"AQUENCE TOWER","AG Architects Pty Ltd (formerl","Warm","Converted","Active","Converted","BCI/Cordell","Normal","Commercial Project","QLD","Queensland","apartments (29) - 6 storey","Tenderers Named",5200000,"Tender","28906","1","Tenderers Named",15.4641691835517,"apartment"
"34",19316,"BRIDGE STRENGTHENING PROGRAM PACKAGE 5","ACT Property Group (Territorie","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","ACT","Australian Capital Territory","bridges (6) - strengthening","Abandoned",3e+06,"Documentation","NULL","0","low_chance",14.9141228466324,"public"
"35",19318,"WORLD SQUARE SHOPPING CENTRE","Himmelzimmer Pty Ltd (formerly","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","New South Wales","public plaza for shopping centre - refurbishment","Development Application",13284000,"Documentation","NULL","0","Development Application",16.4020708614788,"other"
"36",19323,"NEWELL BEACH BOAT RAMP","Department of Transport & Main","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","QLD","Queensland","boat ramp","Tenders To Be Called",3200000,"Documentation","NULL","0","Tenders To Be Called",14.97866136777,"other"
"37",19422,"551 Lot 1 on TP431674B, 553A Lot 3 on PS044966 & 553B Lot 2 on PS044966 Geelong Rd Brooklyn VIC 3012","Veris Ltd (formerly Bosco Jonson Pt","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","service station | convenience store - single storey","Development Approval",2500000,"Documentation","NULL","0","Development Approval",14.7318012898384,"other"
"38",19428,"97-99 Queens Pde Lot 1 & 2 on CP106824 Clifton Hill VIC 3068","Urbis Pty Ltd - Melbourne","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","townhouses (9) - 3 storey | shop - alteration & addition - 2 storey","Construction Certificate Submitted",2450000,"Documentation","NULL","0","low_chance",14.7115985825209,"townhouse"
"39",19444,"43-51 Alliance Ave Lot 207 DP 1012916 Morisset NSW 2264","Perception Planning Pty Ltd","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NSW","New South Wales","warehouses (17 units) | childcare centre (143 places) - 3 buildings - 1 & 2 storey","Construction Commenced",3596000,"Construction","NULL","0","Construction Commenced",15.0953326745736,"house"
"40",19459,"BOURKE STREET PRECINCT REDEVELOPMENT","CBUS Property Pty Ltd","Hot","Declined","Active","Declined","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","office buildings (3) | shops - alterations & additions - 10 storey","Development Application",2.32e+08,"Documentation","NULL","0","Development Application",19.2622479296306,"commercial"
"41",19465,"359 Waterdale Rd Lot 172 on SP042590 Bellfield VIC 3081","Peddle Thorp Melbourne Pty Ltd","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","townhouses (6) - 2 & 3 storey","Development Approval",2500000,"Documentation","NULL","0","Development Approval",14.7318012898384,"townhouse"
"42",19468,"25 Landscape Pl Lot 2408 on PS1434305 Sunbury VIC 3429","Hardrock Geotechnical Pty Ltd (trad","Warm","Declined","Active","Declined","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","townhouses (3) - 2 storey","Construction Certificate Submitted",2500000,"Documentation","NULL","0","low_chance",14.7318012898384,"townhouse"
"43",19474,"8 William Earp Pl LOT 2 DP 450226 - SUBJ TO & INT IN ROW Tawa NZ 5028","Design & Solutions Architecture Ltd","Warm","Declined","Active","Declined","BCI/Cordell","Normal","Commercial Project","NZ","New Zealand","retail complex - single storey","Deferred",2e+07,"Documentation","NULL","0","low_chance",16.8112428315183,"other"
"44",19476,"NAUHRIA PRECAST & REINFORCING","Nauhria Precast Ltd (aka Nauhria Re","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NZ","New Zealand","concrete factory","Construction Commenced",6e+06,"Construction","NULL","0","Construction Commenced",15.6072700271923,"other"
"45",19495,"MORTON RD RESERVE MASTERPLAN","Convic Pty Ltd","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","South Australia","reserve - upgrade","Development Approval",5e+06,"Documentation","NULL","0","Development Approval",15.4249484703984,"other"
"46",19510,"THE MALT DISTRICT - STAGE 2","Caydon Property Group Pty Ltd","Hot","Converted","Active","Converted","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","apartments (258) | serviced apartments (43) | shops | offices - 3 buildings - 11, 14 & 15 storey","Construction Commenced",8e+07,"Construction","24977","1","Construction Commenced",18.1975371926382,"apartment"
"47",19516,"SUMMERSET - CRANBOURNE NORTH","Urbis Pty Ltd - Melbourne","Hot","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","retirement village | aged care facility | display home centre","Development Application",79781000,"Documentation","NULL","0","Development Application",18.1947959388328,"aged_care"
"48",19523,"WARRINA HOMES - PARADISE","David Frazer Designs SA","Warm","Declined","Active","Declined","BCI/Cordell","Normal","Commercial Project","SA","South Australia","retirement village (27 units) | community centre - single storey","Development Approval",2e+07,"Documentation","NULL","0","Development Approval",16.8112428315183,"aged_care"
"49",19526,"QUEST - COLLINGWOOD","Urbis Pty Ltd - Melbourne","Warm","Converted","Active","Converted","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","serviced apartments (83) | offices (2) | cafe - 9 storey","Tenderers Named",1.8e+07,"Tender","26389","1","Tenderers Named",16.7058823158604,"apartment"
"50",19537,"LANGRIDGE LANES","Minicon Construction (VIC) Pty","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","offices (18) | restaurants (2) | fitness centre - 2 buildings - 7 & 9 storey","Construction Commenced",29500000,"Construction","NULL","0","Construction Commenced",17.19990082131,"commercial"
"51",19538,"26 Langmore La Lot 1 on PS711748 Berwick VIC 3806","Trethowan Architecture Pty Ltd","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","apartments (16) - 3 storey","Development Approval",11100000,"Documentation","NULL","0","Development Approval",16.2224556662826,"apartment"
"52",19578,"GREENPARK SCHOOL","Nema Construction Estimating Ltd -","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NZ","New Zealand","classroom blocks (6) for school - single storey","Construction Commenced",2e+06,"Construction","NULL","0","Construction Commenced",14.5086577385242,"public"
"53",19681,"FORMER CHURCH OF CHRIST","Nightingale Housing Ltd","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","New South Wales","boarding house (55 rooms) | disability accommodation units (4) | shops (2) - 6 storey","Development Approval",9467000,"Documentation","NULL","0","Development Approval",16.063322625111,"house"
"54",19689,"2 Canning St Allot 1 on DP 57894 Glenelg North SA 5045","Barrio Developments Pty Ltd","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","SA","South Australia","tourist accomodation units (38) | apartments (20) - 7 storey","Development Approval",5390000,"Documentation","NULL","0","Development Approval",15.5000559428852,"apartment"
"55",19690,"GUIDE DOGS VICTORIA","Chandler Architecture Pty Ltd","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","animal welfare centre - redevelopment","Development Approval",23400000,"Documentation","NULL","0","Development Approval",16.9682465803279,"other"
"56",19698,"EVERLEIGH","ATP Engineering Pty Ltd (trading as","Hot","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","QLD","Queensland","sudivision (508 lots) - residential | parklands (2)","Construction Commenced",3e+07,"Construction","NULL","0","Construction Commenced",17.2167079396264,"other"
"57",19704,"93-95 Bradman Ave Lots 64-65 on RP27751 Maroochydore QLD 4558","k Architecture Studio","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","QLD","Queensland","apartments (16) - 4 storey","Tenders To Be Called",4800000,"Documentation","NULL","0","Tenders To Be Called",15.3841264758781,"apartment"
"58",19705,"293, 295 & 297 Bradman Ave Lots 172, 173 & 174 on RP27782 Maroochydore QLD 4558","k Architecture Studio","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","QLD","Queensland","apartments (23) - 4 storey","Tenders To Be Called",6900000,"Documentation","NULL","0","Tenders To Be Called",15.7470319695675,"apartment"
"59",19706,"4 Industrial Pl Lot 266 on RP 900854 & Lot 4 on SP 159592 Yandina QLD 4561","BRD Group (trading as Brad Rea","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","QLD","Queensland","warehouses (5) - single storey","Construction Commenced",2e+06,"Construction","NULL","0","Construction Commenced",14.5086577385242,"house"
"60",19733,"WESTMEAD HIGHLINE","Turf Design Studio Pty Ltd (ak","Hot","Converted","Active","Converted","BCI/Cordell","Normal","Commercial Project","NSW","New South Wales","apartments (272) - 4 buildings - 2 to 9 storey","Tenders To Be Called",86330000,"Documentation","29289","1","Tenders To Be Called",18.2736877202117,"apartment"
"61",19746,"BALLARAT MAJOR EVENTS PRECINCT MASTERPLAN","Sport & Recreation Victoria","Hot","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","sports & entertainment precinct - redevelopment","Development Approval",36500000,"Documentation","NULL","0","Development Approval",17.4128228185527,"other"
"62",19797,"QUEST GEELONG","Kane Constructions (VIC) Pty L","Warm","Converted","Active","Converted","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","apartments (54) | serviced apartments (54 rooms) | shop | cafe - 14 storey","Tenderers Named",1.5e+07,"Tender","25949","1","Tenderers Named",16.5235607590665,"apartment"
"63",19802,"BAY WATERS - STAGE 3","Dash Architects SA","Warm","Declined","Active","Declined","BCI/Cordell","Normal","Commercial Project","SA","South Australia","serviced apartments (48) | aged care apartments (15) | shops - 7 & 2 storey","Construction Certificate Submitted",12300000,"Documentation","NULL","0","low_chance",16.3251098203426,"apartment"
"64",19806,"PROJECT SEA DRAGON - STAGE 1 PRAWN PROCESSING PLANT","Seafarms Group Ltd - Brisbane","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","QLD","Western Australia","prawn processing facility","Development Approval",1e+07,"Documentation","NULL","0","Development Approval",16.1180956509583,"other"
"65",19808,"18-20 Douglas Dr Mawson Lakes SA 5095","365 Studio Pty Ltd","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","SA","South Australia","townhouses (9) - 2 storey","Construction Certificate Approved",2500000,"Documentation","NULL","0","low_chance",14.7318012898384,"townhouse"
"66",19822,"60-82 Johnson St South Melbourne VIC 3205","Rothelowman Architects (tradin","Hot","Converted","Active","Converted","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","apartments (1,332) | shops | function area | childcare centre - 4 towers - 21 & 46 storey","Tenders To Be Called",4e+08,"Documentation","29036","1","Tenders To Be Called",19.8069751050723,"apartment"
"67",19837,"SYDNEY ROAD TOWER","Development Victoria (formerly","Hot","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","social housing units | shop - 12 storey","Development Application",5e+07,"Documentation","NULL","0","Development Application",17.7275335633924,"public"
"68",19840,"1023-1027 Heidelberg Rd Lot 1 on 517141M Ivanhoe VIC 3079","Veris Ltd (formerly Bosco Jonson Pt","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","apartments (45) - 5 storey","Development Approval",11500000,"Documentation","NULL","0","Development Approval",16.2578575933335,"apartment"
"69",19857,"WESTERN POWER PINJARRA DEPOT","DevelopmentWA (formerly LandCorp -","Warm","Converted","Active","Converted","BCI/Cordell","Normal","Commercial Project","WA","Western Australia","depot","Construction Commenced",1.5e+07,"Construction","26418","1","Construction Commenced",16.5235607590665,"other"
"70",19867,"BARWON CHILD, YOUTH &amp; FAMILY (BCYF) HEAD OFFICE","Barwon Child, Youth & Family -","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","office building - redevelopment - 2 storey","Development Approval",4200000,"Documentation","NULL","0","Development Approval",15.2505950832536,"commercial"
"71",19881,"3 Bleazby Ave Lot 4 on LP7111 Brighton VIC 3186","Conrad Architects Pty Ltd","Warm","Declined","Active","Declined","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","apartments (5) - 3 storey","Abandoned",3500000,"Documentation","NULL","0","low_chance",15.0682735264596,"apartment"
"72",19901,"HALCYON SENIOR CITIZENS VILLAGE","Reeds Consulting Pty Ltd","Warm","Declined","Active","Declined","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","retirement village (157 units) - redevelopment - 3 buildings - 3 storey","Development Approval",2e+07,"Documentation","NULL","0","Development Approval",16.8112428315183,"aged_care"
"73",19904,"EACH INTEGRATED CHILD &amp; FAMILY HEALTH CENTRE","Hellier McFarland Pty Ltd","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","family & health centre | childcare centre - alterations & additions - single storey","Tenderers Named",5e+06,"Tender","NULL","0","Tenderers Named",15.4249484703984,"public"
"74",19913,"KENSINGTON COMMUNITY RECREATION CENTRE","Melbourne City Council","Hot","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","community centre - 2 storey","Sketch plans",4e+07,"Documentation","NULL","0","Sketch plans",17.5043900120782,"public"
"75",19923,"35 Grosvenor St & 38 Junction Rd Lot 1 & B DP 339102 & 409578 Wahroonga NSW 2076","ACOR Consultants (CC) Pty Ltd - Cen","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NSW","New South Wales","senior living villas (9) - single storey","Construction Certificate Approved",3586000,"Documentation","NULL","0","low_chance",15.0925479331472,"aged_care"
"76",19945,"DUNEDIN HOSPITAL","Stantec - Christchurch (merged with","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NZ","New Zealand","demolition works for hospital","Construction Certificate Approved",5e+06,"Documentation","NULL","0","low_chance",15.4249484703984,"public"
"77",19971,"62-64 Dunlavin Rd Lot 1 on TP013179 Nunawading VIC 3131","Jesse Ant Architects (also Jes","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","townhouses (6) - 2 storey","Tenders To Be Called",2e+06,"Documentation","NULL","0","Tenders To Be Called",14.5086577385242,"townhouse"
"78",19976,"ENSEMBLE - ELWOOD","Platinum Construction (VIC) Pt","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","apartments (15) - 3 storey","Construction Commenced",6500000,"Construction","NULL","0","Construction Commenced",15.6873127348659,"apartment"
"79",19980,"DIAMOND APARTMENTS","Capital Developments Pty Ltd (","Hot","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NSW","New South Wales","apartments (101) - 13 storey","Development Application",45359000,"Documentation","NULL","0","Development Application",17.6301191712854,"apartment"
"80",19983,"ADCOCK PARK REDEVELOPMENT","Michael Davies Associates Pty","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NSW","New South Wales","multipurpose sports facility - 2 storey | park - redevelopment","Development Approval",29100000,"Documentation","NULL","0","Development Approval",17.1862487321417,"other"
"81",19998,"NEUE GRAND","Rothelowman Architects (tradin","Hot","Converted","Active","Converted","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","luxury apartments (18) - 20 storey","Tenderers Named",3e+07,"Tender","24492","1","Tenderers Named",17.2167079396264,"apartment"
"82",20002,"PORT CAMPBELL TOWN CENTRE PROJECT","Terroir Pty Ltd (trading as Re","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","TAS","Victoria","streetscape - upgrade","Tenders To Be Called",1e+07,"Documentation","NULL","0","Tenders To Be Called",16.1180956509583,"road"
"83",20018,"ELSTERNWICK COMMUNITY HUB","City of Glen Eira Council","Warm","Declined","Active","Declined","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","community hub","Competition / Design Tender",3e+06,"Concept","NULL","0","low_chance",14.9141228466324,"other"
"84",20059,"338 PITT STREET","Urbis Pty Ltd - Sydney","Hot","Declined","Active","Declined","BCI/Cordell","Normal","Commercial Project","NSW","New South Wales","apartments (592) | hotel (158 rooms) | shops - 2 buildings - 80 storey","Development Application",726854000,"Documentation","NULL","0","Development Application",20.4042361900202,"apartment"
"85",20060,"STELLA APARTMENTS","Aspect Architecture","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NSW","New South Wales","apartments (27) for motel - extension - up to 4 storey","Tenderers Named",8100000,"Tender","NULL","0","Tenderers Named",15.9073746196427,"apartment"
"86",20135,"THE ALTUS / PARK ROYAL","Digital Harbour Holdings","Hot","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","apartments (299) | hotel (281 rooms) | serviced apartments (27) | restaurants (2) - 37 storey","Abandoned",1.4e+08,"Documentation","NULL","0","low_chance",18.7571529805736,"apartment"
"87",20142,"PRESBYTERIAN LADIES COLLEGE - MASTERPLAN","Parry & Rosenthal Architects","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","WA","Western Australia","school - alterations & additions - up to 3 storey","Development Approval",2e+07,"Documentation","NULL","0","Development Approval",16.8112428315183,"public"
